Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
50095,57397;252,5542829;Others;;409,425582;;;;;;;;;
330017,0345;648,2212113;Others;;1050,856646;;;;;;;;;
50911,14761;254,6018193;Others;;412,7449231;;;;;;;;;
44047,88809;236,819579;Others;;383,9174408;;;;;;;;;
77182,29505;313,4829345;Others;;508,1993916;;;;;;;;;
147577,3586;433,4758689;Others;;702,7246099;;;;;;;;;
93244,94873;344,5622673;Others;;558,5833082;;;;;;;;;
212595,1655;520,2735547;Others;;843,4357181;;;;;;;;;
50572,4772;253,753577;Others;;411,3698044;;;;;;;;;
186648,8652;487,4922729;Others;;790,2927057;;;;;;;;;
74873,80695;308,7592782;Others;;500,5416885;;;;;;;;;
119695,7988;390,3862503;Others;;632,8703513;;;;;;;;;
66628,21924;291,2622247;Others;;472,1765337;;;;;;;;;
20804,03941;162,752959;Others;;263,8451592;;;;;;;;;
178403,2775;476,6026729;Others;;772,6391511;;;;;;;;;
142566,4189;426,053051;Others;;690,6911908;;;;;;;;;
22462,83325;169,1170233;Others;;274,1621916;;;;;;;;;
18896,42649;155,1118225;Others;;251,4578152;;;;;;;;;
73933,82378;306,815039;Others;;497,3898065;;;;;;;;;
42693,20646;233,1494773;Others;;377,967696;;;;;;;;;
36403,61315;215,2917087;Others;;349,017772;;;;;;;;;
136580,9378;417,0134903;Others;;676,0368069;;;;;;;;;
96002,69349;349,6204024;Others;;566,7832479;;;;;;;;;
55396,80262;265,5812489;Others;;430,5441038;;;;;;;;;
218870,9355;527,8968937;Others;;855,7942097;;;;;;;;;
107006,026;369,1128605;Others;;598,3832308;;;;;;;;;
245148,9946;558,6889961;Others;;905,7124859;;;;;;;;;
109680,831;373,6977005;Others;;605,8158934;;;;;;;;;
95933,57708;349,4945264;Others;;566,5791855;;;;;;;;;
211344,1585;518,7405326;Others;;840,9504762;;;;;;;;;
119785,6502;390,5327473;Others;;633,1078433;;;;;;;;;
83630,8561;326,3159713;Others;;529,0035273;;;;;;;;;
162071,0698;454,2634645;Others;;736,4241905;;;;;;;;;
133325,5549;412,0137969;Others;;667,9316092;;;;;;;;;
184043,1765;484,0775251;Others;;784,7569251;;;;;;;;;
116730,7048;385,5206214;Others;;624,9824908;;;;;;;;;
316200,6641;634,5070446;Others;;1028,624077;;;;;;;;;
93694,2054;345,3913251;Others;;559,927326;;;;;;;;;
156209,9982;445,9739309;Others;;722,9857048;;;;;;;;;
