Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
638580,3353;901,7015778;Quartz;;1461,783538;;;;;;;;;
1189548,709;1230,682923;Quartz;;1995,108007;;;;;;;;;
743312,4313;972,8385178;Quartz;;1577,106402;;;;;;;;;
1120425,388;1194,391021;Quartz;;1936,273791;;;;;;;;;
975709,4483;1114,590442;Quartz;;1806,905966;;;;;;;;;
111546,9741;376,863395;Quartz;;610,9479241;;;;;;;;;
450894,7239;757,6918853;Quartz;;1228,323818;;;;;;;;;
249026,4252;563,0899504;Quartz;;912,8470444;;;;;;;;;
458089,7422;763,7132805;Quartz;;1238,085337;;;;;;;;;
237304,2821;549,6773564;Quartz;;891,1033659;;;;;;;;;
307388,3218;625,6028828;Quartz;;1014,189193;;;;;;;;;
1189044,159;1230,421897;Quartz;;1994,684847;;;;;;;;;
1335584,772;1304,039626;Quartz;;2114,029415;;;;;;;;;
747079,2757;975,3004034;Quartz;;1581,09746;;;;;;;;;
455311,2625;761,3936594;Quartz;;1234,324909;;;;;;;;;
1329281,355;1300,958719;Quartz;;2109,034836;;;;;;;;;
399133,4445;712,876206;Quartz;;1155,671376;;;;;;;;;
2120159,7;1643,006747;Quartz;;2663,542214;;;;;;;;;
4099999,264;2284,793469;Quartz;;3703,967659;;;;;;;;;
4747232,974;2458,528981;Quartz;;3985,617062;;;;;;;;;
2321191,69;1719,137298;Quartz;;2786,960415;;;;;;;;;
2943190,999;1935,816925;Quartz;;3138,228195;;;;;;;;;
5162131,872;2563,714187;Quartz;;4156,136896;;;;;;;;;
2513141,784;1788,807284;Quartz;;2899,905142;;;;;;;;;
5779915,079;2712,787578;Quartz;;4397,805574;;;;;;;;;
3396428,769;2079,535385;Quartz;;3371,215787;;;;;;;;;
2235839,835;1687,234333;Quartz;;2735,241275;;;;;;;;;
1777667,154;1504,458746;Quartz;;2438,936654;;;;;;;;;
3610178,178;2143,973325;Quartz;;3475,678641;;;;;;;;;
2707607,715;1856,726478;Quartz;;3010,011591;;;;;;;;;
189814,3968;491,6087836;Quartz;;796,9661415;;;;;;;;;
93963,7594;345,8878058;Quartz;;560,7321903;;;;;;;;;
92857,89684;343,8463993;Quartz;;557,4227866;;;;;;;;;
73062,95701;305,0026985;Quartz;;494,4517509;;;;;;;;;
200168,035;504,8384472;Quartz;;818,4132643;;;;;;;;;
124119,2491;397,5343208;Quartz;;644,4583667;;;;;;;;;
340564,1986;658,4981437;Quartz;;1067,516981;;;;;;;;;
316373,4551;634,6803873;Quartz;;1028,905089;;;;;;;;;
344642,0668;662,4287949;Quartz;;1073,889113;;;;;;;;;
229784,4167;540,8979627;Quartz;;876,870749;;;;;;;;;
605259,314;877,86109;Quartz;;1423,134795;;;;;;;;;
417781,0519;729,3389859;Quartz;;1182,359829;;;;;;;;;
735370,9558;967,6277079;Quartz;;1568,658955;;;;;;;;;
138474,7274;419,8946283;Quartz;;680,707532;;;;;;;;;
440209,3269;748,6600851;Quartz;;1213,682015;;;;;;;;;
78308,89253;315,7625353;Quartz;;511,8949412;;;;;;;;;
131383,3838;409,0018579;Quartz;;663,0488376;;;;;;;;;
841561,4082;1035,137317;Quartz;;1678,10141;;;;;;;;;
810099,6183;1015,603697;Quartz;;1646,434699;;;;;;;;;
1701341,902;1471,806981;Quartz;;2386,003606;;;;;;;;;
370311,9015;686,6554863;Quartz;;1113,163946;;;;;;;;;
376090,0334;691,9918373;Quartz;;1121,814912;;;;;;;;;
120718,7217;392,0508261;Quartz;;635,56886;;;;;;;;;
109107,1648;372,7191394;Quartz;;604,2295099;;;;;;;;;
670131,9764;923,7091169;Quartz;;1497,460817;;;;;;;;;
593163,9423;869,0453313;Quartz;;1408,843226;;;;;;;;;
1442673,738;1355,311497;Quartz;;2197,148241;;;;;;;;;
1002270,885;1129,65965;Quartz;;1831,335246;;;;;;;;;
1800517,039;1514,096924;Quartz;;2454,561479;;;;;;;;;
2778887,469;1881,007553;Quartz;;3049,374588;;;;;;;;;
1760443,344;1497,152658;Quartz;;2427,092471;;;;;;;;;
1,34E+07;4125,836862;Quartz;;6688,55479;;;;;;;;;
2326824,678;1721,222006;Quartz;;2790,340015;;;;;;;;;
3905664,654;2229,988046;Quartz;;3615,120454;;;;;;;;;
2225645,165;1683,38333;Quartz;;2728,998265;;;;;;;;;
210100,0631;517,2114739;Quartz;;838,4716596;;;;;;;;;
192655,0812;495,2737303;Quartz;;802,9075293;;;;;;;;;
65342,65401;288,4386435;Quartz;;467,5991162;;;;;;;;;
215000,4166;523,2084026;Quartz;;848,1935143;;;;;;;;;
140479,1033;422,9226283;Quartz;;685,6163407;;;;;;;;;
