Area (µm^2);Equivalent circular diameter (µm);Class;;3-D diameter (µm);;;;;;;;;
5354019,761;2610,928893;Plagioclase;;4232,678493;;;;;;;;;
6434889,827;2862,368983;Plagioclase;;4640,297814;;;;;;;;;
2527594,025;1793,943329;Plagioclase;;2908,231383;;;;;;;;;
2793049,421;1885,79452;Plagioclase;;3057,134927;;;;;;;;;
151745,0782;439,5541312;Plagioclase;;712,5783175;;;;;;;;;
122522,66;394,9692341;Plagioclase;;640,3000047;;;;;;;;;
194700,927;497,8964949;Plagioclase;;807,1593951;;;;;;;;;
998932,5621;1127,776769;Quartz;;1828,282834;;;;;;;;;
234014,341;545,8537469;Quartz;;884,9047637;;;;;;;;;
1479305,435;1372,410354;Quartz;;2224,867863;;;;;;;;;
335795,1663;653,8713059;Quartz;;1060,016235;;;;;;;;;
439518,1628;748,0721259;Quartz;;1212,728852;;;;;;;;;
1221625,635;1247,165613;Quartz;;2021,828739;;;;;;;;;
104863,4173;365,3987543;Quartz;;592,3621486;;;;;;;;;
516036,9403;810,5791997;Quartz;;1314,061503;;;;;;;;;
266637,2865;582,6603962;Quartz;;944,573456;;;;;;;;;
1148624,883;1209,32817;Quartz;;1960,488986;;;;;;;;;
127658,0093;403,1615379;Quartz;;653,5808674;;;;;;;;;
439373,0184;747,9485957;Quartz;;1212,528592;;;;;;;;;
174159,5299;470,89999;Quartz;;763,3943098;;;;;;;;;
430553,7645;740,4039972;Quartz;;1200,29775;;;;;;;;;
351401,6517;668,8934736;Quartz;;1084,369256;;;;;;;;;
1056686,234;1159,920127;Quartz;;1880,391682;;;;;;;;;
154468,2647;443,4806682;Quartz;;718,9437795;;;;;;;;;
260050,4926;575,4186049;Quartz;;932,8335062;;;;;;;;;
603856,2509;876,8430065;Quartz;;1421,484341;;;;;;;;;
587745,2157;865,066732;Quartz;;1402,393364;;;;;;;;;
705733,8392;947,9283898;Quartz;;1536,723623;;;;;;;;;
217834,1894;526,6451406;Quartz;;853,7649441;;;;;;;;;
249793,6174;563,9566576;Quartz;;914,2520972;;;;;;;;;
287482,7958;605,0078214;Quartz;;980,8017373;;;;;;;;;
1348032,637;1310,102462;Quartz;;2123,858115;;;;;;;;;
183573,185;483,4590349;Quartz;;783,7542666;;;;;;;;;
373677,8707;689,7691222;Quartz;;1118,211582;;;;;;;;;
240504,3719;553,3711927;Quartz;;897,0915879;;;;;;;;;
1071449,499;1167,994809;Quartz;;1893,481864;;;;;;;;;
1414882,029;1342,193634;Quartz;;2175,882362;;;;;;;;;
430844,0534;740,6535535;Quartz;;1200,702315;;;;;;;;;
494562,4718;793,534181;Quartz;;1286,42916;;;;;;;;;
589279,6;866,1951799;Quartz;;1404,222734;;;;;;;;;
1037464,961;1149,322154;Quartz;;1863,210897;;;;;;;;;
936237,0666;1091,812281;Quartz;;1769,979402;;;;;;;;;
555979,3137;841,3648722;Quartz;;1363,969356;;;;;;;;;
914078,3455;1078,814487;Quartz;;1748,908171;;;;;;;;;
381709,1975;697,1421984;Quartz;;1130,164363;;;;;;;;;
509968,5195;805,7990355;Quartz;;1306,312193;;;;;;;;;
382407,2732;697,7793795;Quartz;;1131,197322;;;;;;;;;
1983212,445;1589,057743;Quartz;;2576,083383;;;;;;;;;
1814132,971;1519,811119;Quartz;;2463,824985;;;;;;;;;
3553253,903;2127,003381;Quartz;;3448,168002;;;;;;;;;
2255095,667;1694,484282;Quartz;;2746,994449;;;;;;;;;
2089423,633;1631,053891;Quartz;;2644,164973;;;;;;;;;
158525,398;449,2669647;Quartz;;728,3241701;;;;;;;;;
414560,2272;726,5221779;Quartz;;1177,793392;;;;;;;;;
216997,8808;525,633221;Quartz;;852,1244818;;;;;;;;;
70422,71015;299,4411118;Quartz;;485,435646;;;;;;;;;
151081,5606;438,5920855;Quartz;;711,0187078;;;;;;;;;
739932,6389;970,6242817;Quartz;;1573,516818;;;;;;;;;
733124,6725;966,1487071;Quartz;;1566,261289;;;;;;;;;
561418,7751;845,4706297;Quartz;;1370,625359;;;;;;;;;
1561678,372;1410,103067;Quartz;;2285,972989;;;;;;;;;
1679687,731;1462,410627;Quartz;;2370,770811;;;;;;;;;
933099,1816;1089,98109;Quartz;;1767,010787;;;;;;;;;
470095,2626;773,6561757;Quartz;;1254,204151;;;;;;;;;
1103194,667;1185,171327;Quartz;;1921,327387;;;;;;;;;
295362,0665;613,242744;Quartz;;994,1516909;;;;;;;;;
124554,6825;398,2310224;Quartz;;645,5878168;;;;;;;;;
714677,5027;953,9159597;Quartz;;1546,430306;;;;;;;;;
1606438,159;1430,168029;Quartz;;2318,50108;;;;;;;;;
